# source: https://nantoka-game.com/famicom-ranking-top50/
# how: Nantoka Game Famicom all-time SALES ranking (units shipped), top 44; '<rank>位' / title table cells in page order, best-first. Japanese Family Computer software.
Super Mario Bros. | スーパーマリオブラザーズ
Super Mario Bros. 3 | スーパーマリオブラザーズ3
Dragon Quest III | ドラゴンクエストIII そして伝説へ…
Dragon Quest IV | ドラゴンクエストIV 導かれし者たち
Golf | ゴルフ
Dragon Quest II | ドラゴンクエストII 悪霊の神々
Baseball | ベースボール
Mahjong | 麻雀
Pro Baseball: Family Stadium | プロ野球ファミリースタジアム
Tetris | テトリス
Ghosts 'n Goblins | 魔界村
Mario Bros. | マリオブラザーズ
Bases Loaded | 燃えろ!!プロ野球
Excitebike | エキサイトバイク
Tennis | テニス
Soccer | サッカー
Dr. Mario | ドクターマリオ
F1 Race | F1レース
Mega Man 2 | ロックマン2 Dr.ワイリーの謎
Ninja Hattori-kun | 忍者ハットリくん
Dragon Quest | ドラゴンクエスト
4 Nin Uchi Mahjong | 4人打ち麻雀
Kung-Fu Master | スパルタンX
Final Fantasy III | ファイナルファンタジーIII
Xevious | ゼビウス
Ninja Kid | ゲゲゲの鬼太郎 妖怪大魔境
Rockman | ロックマン
Commando | 戦場の狼
Lode Runner | ロードランナー
Famicom Jump: Hero Retsuden | ファミコンジャンプ 英雄列伝
Mega Man 3 | ロックマン3 Dr.ワイリーの最期!?
Tag Team Match: M.U.S.C.L.E. | キン肉マン マッスルタッグマッチ
Adventure Island | 高橋名人の冒険島
Ice Climber | アイスクライマー
Ninja JaJaMaru-kun | 忍者じゃじゃ丸くん
TwinBee | ツインビー
Gradius | グラディウス
Star Soldier | スターソルジャー
Momotarō Densetsu | 桃太郎伝説
Kirby's Adventure | 星のカービィ 夢の泉の物語
Donkey Kong | ドンキーコング
Bomberman | ボンバーマン
Takeshi's Challenge | たけしの挑戦状
Final Fantasy II | ファイナルファンタジーII
