# source: https://www.gavas.jp/user_data/superfamicom_game_ranking.php
# how: Pico Pico Daihyakka (gavas.jp) Super Famicom all-time SALES ranking (units shipped), top 41; '<rank> 位' / title table cells in page order, best-first.
Super Mario Kart | スーパーマリオカート
Super Mario World | スーパーマリオワールド
Dragon Quest VI | ドラゴンクエスト6 幻の大地
Donkey Kong Country | スーパードンキーコング
Street Fighter II | ストリートファイター2
Dragon Quest V | ドラゴンクエスト5 天空の花嫁
Final Fantasy VI | ファイナルファンタジー6
Final Fantasy V | ファイナルファンタジー5
Super Mario All-Stars | スーパーマリオコレクション
Chrono Trigger | クロノ･トリガー
Donkey Kong Country 3 | スーパードンキーコング3 謎のクレミス島
Yoshi's Island | スーパーマリオ ヨッシーアイランド
Puyo Puyo | すーぱーぷよぷよ
Secret of Mana | 聖剣伝説2
Super Mario RPG | スーパーマリオRPG
Dragon Ball Z: Super Butōden | ドラゴンボールZ 超武闘伝
Final Fantasy IV | ファイナルファンタジー4
Dragon Quest III | ドラゴンクエスト3 そして伝説へ…
Dragon Ball Z: Super Butōden 2 | ドラゴンボールZ 超武闘伝2
The Legend of Zelda: A Link to the Past | ゼルダの伝説 神々のトライフォース
Kirby Super Star | 星のカービィ スーパーデラックス
Romancing SaGa | ロマンシング サ･ガ
F-Zero | F-ZERO エフゼロ
SimCity | シムシティー
Dragon Ball Z: Super Butōden 3 | ドラゴンボールZ 超武闘伝3
Star Fox | スターフォックス
Torneko's Great Adventure | トルネコの大冒険 不思議のダンジョン
Trials of Mana | 聖剣伝説3
Fire Emblem: Mystery of the Emblem | ファイアーエムブレム 紋章の謎
Super Metroid | スーパーメトロイド
Banshee's Last Cry | かまいたちの夜
ASCII Corporation | ミニ四駆 シャイニングスコーピオン レッツ＆ゴー!!
Tactics Ogre | タクティクスオウガ
Pilotwings | パイロットウイングス
Bahamut Lagoon | バハムートラグーン
Fire Emblem: Genealogy of the Holy War | ファイアーエムブレム 聖戦の系譜
ActRaiser | アクトレイザー
4th Super Robot Wars | 第4次スーパーロボット大戦
Super Robot Wars | スーパーロボット大戦EX
Kirby's Dream Land 3 | 星のカービィ3
Super Bomberman 4 | スーパーボンバーマン4
