# source: https://ranking.net/rankings/best-superfamicom-games
# how: Minna no Ranking (ranking.net) Super Famicom software reader poll, top 20 by reader votes; '<rank> 位 <title>' headings in page order, best-first. Japanese Super Famicom software only.
Chrono Trigger | クロノ・トリガー
Dragon Quest V | ドラゴンクエストV 天空の花嫁
Kirby Super Star | 星のカービィ スーパーデラックス
EarthBound | MOTHER2 ギーグの逆襲
Super Mario Kart | スーパーマリオカート
Super Mario RPG | スーパーマリオRPG
Final Fantasy VI | ファイナルファンタジーVI
Dragon Quest III | ドラゴンクエストIII そして伝説へ…
Dragon Quest VI | ドラゴンクエストVI 幻の大地
Romancing SaGa 3 | ロマンシング サ・ガ3
Super Mario World | スーパーマリオワールド
Final Fantasy V | ファイナルファンタジーV
The Legend of Zelda: A Link to the Past | ゼルダの伝説 神々のトライフォース
Tactics Ogre | タクティクス オウガ
Final Fantasy IV | ファイナルファンタジーIV
Donkey Kong Country | スーパードンキーコング
Street Fighter II | ストリートファイターII
Trials of Mana | 聖剣伝説3
Romancing SaGa 2 | ロマンシング サ・ガ2
Secret of Mana | 聖剣伝説2
