# source: https://rankingoo.net/articles/comic/00189a
# how: Rankingoo Super Famicom reader-vote ranking, top 20 by votes cast; '第<rank>位：<title>' headings in page order, best-first. Japanese Super Famicom software; titles paired 'English | Japanese' via ja.wikipedia langlinks
Super Mario Kart | スーパーマリオカート
Super Mario World | スーパーマリオワールド
Donkey Kong Country | スーパードンキーコング
Street Fighter II | ストリートファイターII
Puyo Puyo 2 | す〜ぱ〜ぷよぷよ通
The Legend of Zelda: A Link to the Past | ゼルダの伝説 神々のトライフォース
Yoshi's Island | スーパーマリオ ヨッシーアイランド
SimCity | シムシティー
Sailor Moon | 美少女戦士セーラームーン
Chrono Trigger | クロノ・トリガー
Kirby Super Star | 星のカービィ スーパーデラックス
EarthBound | MOTHER2 ギーグの逆襲
Torneko's Great Adventure | トルネコの大冒険 不思議のダンジョン
The Magical Quest Starring Mickey Mouse | ミッキーのマジカルアドベンチャー
