# source: https://spotgeeks.news/archives/2018
# how: one publication, one vote - 7 of its lists merged best-first with duplicates dropped: SpotGeeks Super Famicom recommended-classics ranking, top 12; SpotGeeks Super Famicom classics, RPG section, top 10 within that genre; SpotGeeks Super Famicom classics, action section, top 12 within that genre; SpotGeeks Super Famicom classics, fighting section, top 8 within that genre; SpotGeeks Super Famicom classics, shooting section, top 8 within that genre; SpotGeeks Super Famicom classics, puzzle and other section, top 5 within that genre; SpotGeeks Super Famicom classics, sports and racing section, top 3 within that genre
Chrono Trigger | クロノ・トリガー
Final Fantasy VI | ファイナルファンタジーVI
Dragon Quest V | ドラゴンクエストV 天空の花嫁
Final Fantasy IV | ファイナルファンタジーIV
Dragon Quest VI | ドラゴンクエストVI 幻の大地
Live A Live | ライブ・ア・ライブ
Romancing SaGa 2 | ロマンシング サ・ガ2
EarthBound | MOTHER2 ギーグの逆襲
Tales of Phantasia | テイルズ オブ ファンタジア
Bahamut Lagoon | バハムートラグーン
Kirby Super Star | 星のカービィ スーパーデラックス
Super Ghouls 'n Ghosts | 超魔界村
Super Mario World | スーパーマリオワールド
The Legend of Zelda: A Link to the Past | ゼルダの伝説 神々のトライフォース
Super Metroid | スーパーメトロイド
Castlevania | 悪魔城ドラキュラ
Mega Man X | ロックマンX
Donkey Kong Country | スーパードンキーコング
Yoshi's Island | スーパーマリオ ヨッシーアイランド
Mega Man X2 | ロックマンX2
Donkey Kong Country 2 | スーパードンキーコング2 ディクシー&ディディー
Super Mario RPG | スーパーマリオRPG
Street Fighter II Turbo | ストリートファイターII ターボ
Street Fighter II | スーパーストリートファイターII
Fatal Fury Special | 餓狼伝説スペシャル
Samurai Shodown | サムライスピリッツ
Art of Fighting | 龍虎の拳
Saturday Night Slam Masters | マッスルボマー
Final Fight | ファイナルファイト
Shin Kidō Senki Gundam Wing: Endless Duel | 新機動戦記ガンダムW ENDLESS DUEL
Star Fox | スターフォックス
Gradius III | グラディウスIII
Axelay | アクスレイ
R-Type | スーパーR-TYPE
R-Type III: The Third Lightning | R-TYPE III ザ・サード・ライトニング
Raiden | 雷電伝説
Eroge | スペースメガフォース
Darius Twin | ダライアスツイン
Puyo Puyo 2 | ぷよぷよ通
Panel de Pon | パネルでポン
SimCity | シムシティ
Super Bomberman 2 | スーパーボンバーマン2
Mario's Picross | マリオのピクロス
Super Mario Kart | スーパーマリオカート
F-ZERO
Tecmo | テクモスーパーボウルIII
